"cellcode","clc_artificial","clc_agriculture","clc_forest","clc_shrub","clc_open","clc_marshes","clc_peat bogs","clc_coastal wetland","clc_rivers","clc_lakes","clc_marine waters","bio1_annual_temp_dC","bio10_temp_warmQ_dC","bio12_annual_prec_mm","bio15_coefvar_prec","bio4_sd_temp"
"50kmE630N170",0.0236000007134862,1.11559997312725,1.15160000277683,0.742400012677535,0.0331999995978549,0,0,0,0,0,48.828399181366,20.063549041748,26.6950016021729,1067.37902832031,97.4816589355469,503.512878417969
"50kmE635N170",0.0812000007499592,0.850000005448237,1.15919995732838,0.469999992492376,0.0144000003274414,0,0,0,0,0,52.3024022579193,20.1270408630371,26.9719314575195,934.066955566406,99.1518630981445,520.494018554688
"50kmE640N170",0,0,0,0,0,0,0,0,0,0,33.1095993518829,20.0334930419922,26.5727863311768,682.997497558594,102.378128051758,493.429748535156
"50kmE645N170",0.931199984188425,12.3012000505696,2.40680003771558,6.26080005313269,0.105199997778982,0,0,0,0,0,64.5247995853424,19.9873676300049,26.5317287445068,539.075500488281,103.848121643066,494.101348876953
"50kmE650N170",0.0684000027831644,4.11440003081225,1.01239997893572,2.54439992859261,0.0908000009076205,0,0,0,0,0,59.5444023609161,20.1903972625732,26.4348545074463,521.122985839844,105.739883422852,474.905822753906
"50kmE580N175",1.38719996029977,16.0300001909491,4.55040000379086,10.0071999360807,1.75000003509922,0.0148000006447546,0,0.142400001641363,0,0.0112000001536217,66.1068022251129,17.884916305542,24.4228248596191,724.716003417969,91.9076461791992,501.497711181641
"50kmE650N175",0.0119999996968545,0.724400021135807,0.344399991445243,0.912799965590239,0.122799999371637,0,0,0,0,0,60.2240025997162,20.1381034851074,26.5347671508789,674.811157226562,104.904823303223,486.727111816406
"50kmE640N185",0.181599997449666,28.3436003490351,1.8443999812007,18.4344004839659,51.1536002159118,0.0423999998020008,0,0,0,0,0,8.41508483886719,18.6522750854492,651.641052246094,53.4949989318848,803.181762695312
"50kmE570N190",0.869600017176709,23.8928005390335,10.1235997397453,12.4652000144124,0.0188000005437061,0,0,0.360399996861815,0,0,52.2696018218994,16.8802680969238,24.2754516601562,565.169555664062,81.4985733032227,558.002685546875
"50kmE350N195",1.30479997751536,13.7483998085372,0.0760000009904615,3.97359992493876,0.608400005148724,0.160399999003857,0,0.771200028248132,0,0,63.6747996555641,17.3427333831787,24.1997776031494,571.59912109375,43.4154930114746,504.587158203125
"50kmE275N200",1.62279996729921,23.649600619683,22.1227999776602,48.7071996787563,2.02039990836056,0,0,0,0.529999984428287,1.34720001369715,0,15.3675622940063,22.0367851257324,911.880554199219,58.6725845336914,502.455657958984
"50kmE345N200",0.543199999083299,32.3592000990175,43.5139991343021,22.7635994553567,0.642399996286258,0,0,0,0,0.177600001916289,0,13.6659774780273,21.9187068939209,561.942016601562,31.1283760070801,607.661560058594
"50kmE350N200",1.94320007794886,47.6360003231092,16.8563994579017,23.5295997932553,0.862400000914931,0.0636000011581928,0,0.162400002591312,0.737999984994531,0.0216000000364147,8.18679973017425,15.6068754196167,23.1219539642334,556.81591796875,38.9375267028809,563.649475097656
"50kmE355N200",4.09640007419511,8.87400007341056,2.51919995062053,3.53239999094513,0.139600000693463,0,0,0,0,0.0144000005093403,64.7459983825684,16.8593330383301,23.7280311584473,581.749633789062,43.4214477539062,507.519134521484
"50kmE360N200",0.692399979925539,0.379200001771096,0.0436000002082437,0.0327999994624406,0.0676000025123358,0,0,0,0,0,49.9615997076035,17.0078735351562,23.627103805542,581.35546875,41.5541648864746,480.800201416016
"50kmE420N200",0.19000000320375,2.6796000689501,0.464399997144937,6.83439972344785,1.13879999262281,0,0,0,0,0.0236000007134862,78.5044014453888,16.7841930389404,22.8884544372559,598.465942382812,54.5647392272949,447.406677246094
"50kmE425N200",1.63799996953458,5.89199993992224,0.392399984411895,12.6556002243888,1.84879995067604,0,0,0.0452000007499009,0,0.000399999998990097,72.0204000244849,16.9242496490479,23.4011993408203,546.915832519531,52.161563873291,476.620178222656
